perf	synth time
0	"0.01697233598679304,0.017832580022513866,0.016971901059150696,0.016884597949683666,0.016799052013084292,0.016882000025361776,0.016698918072506785,0.017150073079392314,0.016509687062352896,0.017023575957864523"
1	"0.020040420815348625,0.01889284886419773,0.018670815974473953,0.018323478056117892,0.018418656894937158,0.018274052068591118,0.017757984111085534,0.01802395610138774,0.018119656015187502,0.01812595291994512"
1	"0.05305663403123617,0.05498365103267133,0.05383330397307873,0.0509621340315789,0.05411497689783573,0.049384249141439795,0.049428666941821575,0.04962090100161731,0.04955617990344763,0.04955646791495383"
1	"0.019432589877396822,0.019885064102709293,0.018755128141492605,0.01881489995867014,0.01867656991817057,0.01808657217770815,0.018818739103153348,0.018854642985388637,0.01853907504118979,0.01864151586778462"
0	"0.01855013403110206,0.018377212109044194,0.018337971065193415,0.0170863620005548,0.017243926879018545,0.01761348405852914,0.017124404897913337,0.017705372069031,0.017286235000938177,0.017348850844427943"
0	"0.016943725990131497,0.016981943044811487,0.016205598134547472,0.015833323122933507,0.01627817191183567,0.016579527873545885,0.016025898978114128,0.015896470984444022,0.016253562876954675,0.01570001686923206"
0	"0.017285881098359823,0.017390208085998893,0.01654053688980639,0.016621540999040008,0.016749425791203976,0.016023446107283235,0.016154039185494184,0.016500265104696155,0.017058282159268856,0.01691950811073184"
0	"0.01788798696361482,0.017212271923199296,0.016615821048617363,0.016533624147996306,0.016608810052275658,0.016822039149701595,0.016808403190225363,0.01670712186023593,0.017376789124682546,0.01697766105644405"
1	"0.01939410180784762,0.01858036289922893,0.018351028906181455,0.0178383719176054,0.018066897988319397,0.017950125969946384,0.018437033984810114,0.017911179922521114,0.017976240953430533,0.017961657838895917"
0	"0.01930293394252658,0.020165113965049386,0.01907025696709752,0.018267933977767825,0.018863091012462974,0.01998820318840444,0.019146286882460117,0.018617796013131738,0.018776509910821915,0.01854997081682086"
0	"0.018722635926678777,0.018886318197473884,0.01757700997404754,0.017933767987415195,0.018142435001209378,0.01673976588062942,0.017762197880074382,0.018048171885311604,0.018235881812870502,0.017572041135281324"
0	"0.018210784997791052,0.01745164906606078,0.016861097887158394,0.017023856984451413,0.01670923293568194,0.01644492382183671,0.01590753300115466,0.01763170096091926,0.016808158019557595,0.016666597919538617"
0	"0.017528070136904716,0.01731564407236874,0.017198950983583927,0.016760603059083223,0.016841244185343385,0.01586485398001969,0.01589501788839698,0.015988554107025266,0.016083283117040992,0.015957682859152555"
1	"0.054797651944682,0.04925655806437135,0.049579015001654625,0.050009320955723524,0.05373011203482747,0.049608890898525715,0.05087587097659707,0.04958811402320862,0.049353735987097025,0.04969258396886289"
0	"0.019018955994397402,0.01936768088489771,0.020378554007038474,0.018536817049607635,0.019245967036113143,0.019361404003575444,0.01837575016543269,0.01909348415210843,0.018122771056368947,0.017873189877718687"
1	"0.021390607114881277,0.019878959050402045,0.01897976896725595,0.019283879082649946,0.018875095061957836,0.018914323998615146,0.01856575394049287,0.01837862189859152,0.018972555873915553,0.01879828702658415"
1	"0.056123201036825776,0.0560912408400327,0.05340520408935845,0.051567682065069675,0.04970420291647315,0.04881026782095432,0.04963728412985802,0.05092511512339115,0.050454855896532536,0.07276457012630999"
0	"0.01716054300777614,0.016658226028084755,0.0161278760060668,0.01619592192582786,0.01593641098588705,0.015914269955828786,0.016801952850073576,0.016191128874197602,0.01645797211676836,0.01568147400394082"
1	"0.055388778913766146,0.0507261420134455,0.05219081602990627,0.0736397251021117,0.05060437694191933,0.05073693208396435,0.05442018900066614,0.05437172809615731,0.0523235269356519,0.049291620030999184"
1	"0.01582044898532331,0.016899156151339412,0.016138287959620357,0.015714334091171622,0.015519894193857908,0.015752896899357438,0.015730506973341107,0.015545238042250276,0.015502963913604617,0.015426557045429945"
1	"0.01574421115219593,0.016653018072247505,0.01580235012806952,0.016235295915976167,0.016045844880864024,0.015836406033486128,0.015691246138885617,0.01580240810289979,0.015671683941036463,0.01581161213107407"
0	"0.017995920963585377,0.018947245087474585,0.01748066395521164,0.0176140449475497,0.017964438069611788,0.017536924919113517,0.01787707000039518,0.017940877005457878,0.0178474890999496,0.017743043834343553"
0	"0.019947151886299253,0.020084826042875648,0.018790672067552805,0.01864471985027194,0.018148590810596943,0.01863618311472237,0.017345793079584837,0.018247820902615786,0.018228812841698527,0.018563407007604837"
1	"0.01702923607081175,0.018254016991704702,0.01703977002762258,0.01673030201345682,0.016737608006224036,0.016219097888097167,0.015972808934748173,0.015678741969168186,0.016303618904203176,0.015910709043964744"
1	"0.07190990401431918,0.06772025302052498,0.06696103699505329,0.06961100199259818,0.07231836300343275,0.0666327450890094,0.07202651887200773,0.06720423302613199,0.06949007697403431,0.06688405689783394"
1	"0.01548506785184145,0.015843872912228107,0.015916456002742052,0.015308954985812306,0.015666530933231115,0.015330371912568808,0.014830623986199498,0.014903368894010782,0.01513396785594523,0.014551737112924457"
1	"0.020161336986348033,0.018850474152714014,0.0188240020070225,0.01793164503760636,0.017586764181032777,0.01865485403686762,0.018758689984679222,0.018608896993100643,0.018728144001215696,0.018651946913450956"
1	"0.019491004990413785,0.01857393397949636,0.018009731080383062,0.018426662078127265,0.018605154007673264,0.01792584708891809,0.01780152996070683,0.018542039906606078,0.018321302020922303,0.017486048862338066"
1	"0.020695014856755733,0.019512349972501397,0.01951248897239566,0.018970474833622575,0.01896591088734567,0.019452543929219246,0.0217326779384166,0.018436325015500188,0.01890600216574967,0.018931591883301735"
0	"0.019694657996296883,0.020529255969449878,0.01959583116695285,0.018636050866916776,0.018916235072538257,0.018374674953520298,0.018184185959398746,0.019023102009668946,0.019013796001672745,0.01776030706241727"
0	"0.019200176931917667,0.01893870485946536,0.018649464938789606,0.018381935078650713,0.01728413486853242,0.017378956079483032,0.017348548164591193,0.017556064995005727,0.01718800514936447,0.01804970088414848"
0	"0.020118155982345343,0.018898132955655456,0.018819245975464582,0.019024776993319392,0.0188363678753376,0.018707382958382368,0.0185968279838562,0.018682864028960466,0.018280277960002422,0.01810970692895353"
1	"0.021780777955427766,0.02145034889690578,0.019982406171038747,0.020430612144991755,0.020900068106129766,0.020507361041381955,0.020139954052865505,0.01990546891465783,0.01985811907798052,0.019909505965188146"
1	"0.019049936905503273,0.01965192682109773,0.018905831035226583,0.018978884210810065,0.019316483987495303,0.01787248719483614,0.017993198009207845,0.01803889498114586,0.018036969006061554,0.017570406198501587"
1	"0.05742288799956441,0.05727490782737732,0.05435051489621401,0.053704703925177455,0.05754042789340019,0.055352616123855114,0.058394806925207376,0.055460785049945116,0.0561857579741627,0.05499707907438278"
1	"0.25756282289512455,0.2652020468376577,0.2606366879772395,0.26045112288556993,0.25832997797988355,0.2565215239301324,0.2583445981144905,0.2573612588457763,0.2600816348567605,0.2578554719220847"
1	"0.03268294292502105,0.031252872897312045,0.02876699692569673,0.030305457999929786,0.03070438397116959,0.03130317712202668,0.029071196913719177,0.029529147082939744,0.029688351089134812,0.029095313977450132"
0	"0.020212699193507433,0.020014283014461398,0.019299500854685903,0.01893898192793131,0.01841011387296021,0.017857596976682544,0.01784472493454814,0.017931482987478375,0.018970957025885582,0.01846176292747259"
0	"0.017314641969278455,0.0172302161809057,0.01775438105687499,0.017211016034707427,0.017132764915004373,0.017227872041985393,0.017225775867700577,0.016779053956270218,0.016722355969250202,0.01616862486116588"
1	"0.015871950890868902,0.01661343895830214,0.01581135601736605,0.01599165005609393,0.015524255111813545,0.017340034944936633,0.01626730407588184,0.016458859900012612,0.015874028904363513,0.015838634921237826"
1	"0.34769493783824146,0.33810176770202816,0.3343923499342054,0.33532029087655246,0.3350730782840401,0.34551201201975346,0.33365498180501163,0.3368973939213902,0.3593176039867103,0.3364929708186537"
1	"0.05520268902182579,0.05648630694486201,0.049864224856719375,0.0501480340026319,0.05003015580587089,0.051405296893790364,0.05189518188126385,0.0515476621221751,0.0497924629598856,0.05042162095196545"
0	"0.01929166493937373,0.019541477086022496,0.018445658963173628,0.017804673872888088,0.01797197014093399,0.017789185978472233,0.017678898060694337,0.016915553016588092,0.01773636299185455,0.017759191105142236"
0	"0.01720099407248199,0.017457746900618076,0.016982427099719644,0.016759510850533843,0.01695975987240672,0.01684162695892155,0.017130202846601605,0.017003385117277503,0.01696265093050897,0.016667575109750032"
1	"0.021616130135953426,0.021095943870022893,0.020335757173597813,0.019926828099414706,0.019243350019678473,0.01932956208474934,0.019094160990789533,0.019454939058050513,0.0196733761113137,0.019703764002770185"
1	"0.018851553089916706,0.017915633041411638,0.01787275797687471,0.01776250102557242,0.018469746923074126,0.018831127090379596,0.018242507008835673,0.018340540817007422,0.018460002029314637,0.01807304099202156"
1	"0.015958230942487717,0.015833335928618908,0.015371321933344007,0.015158171067014337,0.015706751961261034,0.015270871110260487,0.015617994824424386,0.015828856034204364,0.015732069965451956,0.014807417057454586"
1	"0.017921990947797894,0.01797817717306316,0.017226714175194502,0.01713865203782916,0.01677462295629084,0.01710154488682747,0.017482294933870435,0.01741999899968505,0.01682267989963293,0.016905717086046934"
0	"0.19529942306689918,0.1964053730480373,0.19586569699458778,0.2100553340278566,0.19576526805758476,0.19739705603569746,0.19718661927618086,0.19835353177040815,0.204574289964512,0.20255312020890415"
1	"0.018367273034527898,0.018410852178931236,0.017557573970407248,0.017803775146603584,0.01754201389849186,0.01721225492656231,0.017976474948227406,0.01801138394512236,0.01734612905420363,0.017467573983594775"
0	"0.23040005983784795,0.2325444428715855,0.23430446395650506,0.23640047595836222,0.23108684411272407,0.23252255702391267,0.2308133221231401,0.23180068004876375,0.2330327588133514,0.23109966004267335"
1	"0.023071714909747243,0.021572362165898085,0.021301656030118465,0.02082607918418944,0.02207601396366954,0.020094390027225018,0.021376976976171136,0.021109045948833227,0.019441419979557395,0.01974945398978889"
0	"0.01842428115196526,0.017773461993783712,0.017965345876291394,0.018036166904494166,0.017809121869504452,0.017590890871360898,0.017118921037763357,0.017327944980934262,0.018505385145545006,0.01753563596867025"
